ID,Ime,Priimek,Država,Racun,Skrbnik
229,Selby,Tasseler,Portugal,HR23 3237 2884 4350 0455 5,false
210,Kiley,MacArd,China,PK19 RXJU QX4U I16I 4IKY DJHC,true
182,Jobie,Pflieger,Lebanon,MR36 5438 1088 5253 1852 6665 463,false
656,Sibyl,Spawforth,France,FR40 8616 3843 15PS YZGJ QCLR M00,true
721,Winni,Lightewood,Mexico,IL66 3658 9350 2717 3829 893,false
268,Audrey,Preshaw,Sweden,MR54 4494 8234 5922 2266 5557 344,true
579,Eugenius,Paradin,Mexico,PK31 AQMS U416 HM4B 69EF SGPD,true
387,Jakie,Yoskowitz,Greece,FR43 7608 6528 776W 9UV4 0N6N Z33,false
513,Madalena,Pimmocke,China,PS57 AIVC RPKH R2HP SP5N 18DR F5LU N,false
938,Jeanne,Imlach,Namibia,FR86 6790 6088 66Q8 ARXH 2BRK N24,false
198,Jazmin,Mouat,Czech Republic,FR54 4143 8488 26LU TQKJ O2EH 631,true
538,Nikolai,Boncore,Democratic Republic of the Congo,BG12 UXXP 9732 47JD FMYL CJ,false
288,Krispin,Brislan,Kazakhstan,RS54 1908 4652 6950 9271 70,true
524,Laverne,Aistrop,Ukraine,FR79 3511 7351 776V FJLG CTPC W34,false
435,Avram,Coalbran,Russia,IT23 Y847 0446 4455 ICVR Q68Q K2I,true
303,Florance,McCrohon,Poland,MR03 7958 0289 1283 4526 7956 503,true
667,Marven,Bawles,Indonesia,VG13 VGVQ 5127 3647 0186 5871,true
916,Zelda,Flacknoe,Philippines,MK62 640V ZJCU LPKH S73,false
575,Loreen,Cherry,Angola,MR96 1670 0989 0483 8170 1303 871,false
237,Daniel,Tew,Mexico,FR91 0351 7708 62LP NQYU QFKG T70,true
488,Danya,Crosi,Botswana,FO70 5444 8446 8586 22,false
6,Terrill,Byrd,Guinea,ES61 3484 9583 8150 4984 2252,false
319,Ethel,Jacques,Tajikistan,RO24 LIJN VLWP E41X 1NR4 6C1R,false
959,Bert,Banbury,China,IT43 Q401 2629 8990 D1MC HGGB XLJ,false
935,Marc,Levesley,Indonesia,TN08 3811 1396 3804 9491 6677,false
140,Lorenza,Zeal,Indonesia,FR87 3787 7387 33XF RSVH PWHE X56,true
4,Nichole,Antill,Thailand,BH02 GASB LEU1 IEX2 VFLE 37,false
877,Leigh,Strutley,Morocco,HU98 4135 1976 5881 7776 7600 3980,true
595,Bobbi,Gherardelli,South Korea,FR61 8592 8366 859N RJV5 NWNT V69,false
886,Thorndike,Cattlow,Oman,GR02 6888 850Q MDII IJH8 GYFG PE3,false
672,Alwin,Guys,Indonesia,AT44 7376 1586 9354 1244,true
23,Maren,Casemore,Japan,GL15 1994 8498 8231 70,true
680,Nat,Tarquini,China,IL77 7467 8815 7790 1500 705,false
