12,McCue,McCue,Russia,FR89 2219 2579 36XE CT6F XPUW A96,0
17,Stiller,Abelson,Japan,IE04 TPMN 8097 9070 1814 21,0
30,Schwieso,Twelftree,Bosnia and Herzegovina,TR79 7871 22WJ SIC5 X5P1 RVXF TG,1
37,Crufts,Highway,Mexico,DE34 7955 4728 1120 7523 03,1
60,Tripony,Killelea,Brazil,GT80 WB7L GAT2 GQOH P8QZ 4LCC G0YD,1
76,Beardon,Aistrop,Indonesia,DK34 5691 8029 3751 30,0
84,Hawlgarth,Horsell,Russia,BG42 BOMA 3301 68CK WRJX VK,0
90,Chopy,Harriskine,South Korea,PT10 1910 6413 6662 9336 1756 5,0
110,Roller,Jeeks,China,AL69 5175 9608 NFXD MEOW WCCA E1AY,0
112,Cotta,Crosi,Greece,FR43 0303 5721 2419 X6IF IZA2 580,0
134,Capnerhurst,Late,Indonesia,KW65 ULNG QHG5 BF5R L2GN D4AK 0SZC JQ,0
142,Edelman,Bull,Indonesia,LI30 6249 6TR3 1NCG YLJP S,1
154,Blood,Smerdon,Ukraine,FR81 4338 6938 33ZB KKSN 7AV6 K58,1
163,Jellico,Novak,Yemen,GL36 1774 9144 5756 67,0
165,Simcox,Sabathe,Indonesia,GR72 6415 966P KEJ1 KSU9 EEAP CUQ,0
168,Magwood,Gresswell,Russia,HR59 9419 0381 7302 5040 8,0
176,Ubsdell,Atley,Mali,MR90 6728 2983 4547 0269 6460 643,1
177,Sewley,Collins,Portugal,ME18 3657 5386 5782 5241 85,1
181,Harbard,Maddyson,China,ME92 2178 0939 2836 3617 90,0
193,Ide,Vamplus,Saudi Arabia,RO81 TWIH TSVZ H2IR VEWT WDD1,0
202,Roscoe,Loggie,Peru,IE87 QFQC 8541 8093 9002 05,0
208,Collins,Kertess,Norway,LI63 5593 6BY0 SOHU VSPE Y,1
217,Learmonth,Greenside,China,VG94 MYHF 4151 7424 9707 6485,0
220,Twiggins,Polino,Argentina,AZ77 HPSR MMMG K8HF TGKO N0ND BZSF,1
228,Daniell,Adrien,Indonesia,ES45 1641 7432 1571 4752 1288,0
234,Tithacott,Giovannacci,Philippines,BE83 5343 3959 7819,0
241,Fuggles,Tyhurst,China,BE88 7175 5911 5214,0
243,Livingstone,Mila,Ireland,BG10 LSJM 2536 43SE IP9P DT,1
304,Kenninghan,Keohane,China,PT57 2123 2747 9316 0741 5677 4,1
313,Rigney,Markwell,Nigeria,BE28 0639 7765 8125,0
323,Collman,MacTerlagh,Albania,BE19 3928 4373 1520,0
344,Akehurst,Acreman,Colombia,HU84 0768 6071 4181 6667 5012 4522,0
350,Cheetham,Kirkup,Indonesia,FR64 0182 8068 96JV 3V3X HAKB Q55,0
374,Hadley,Luna,United States,LB38 3188 TGTS KLKD 0I3L 8VQV XGVT,0
387,Yoskowitz,Twining,Greece,NO89 9117 8590 774,1
390,Challinor,Moorerud,Mongolia,CH46 4679 1FXL VHN2 JTIR N,0
404,Cuxson,Lashley,China,FR06 6184 9982 65G8 OYJA 6KLB H01,0
409,Maceur,Hails,China,GR75 5513 675Q F2QG XPC8 OA0J GRG,0
421,Palke,Bedle,Greece,RS11 9966 0249 8908 5013 73,1
429,McComiskey,Romaynes,Indonesia,DO27 UMNQ 7332 6123 0787 4224 6527,1
432,Daffey,Burdge,China,RS52 0828 6358 7409 5410 05,0
441,Antusch,Kleinmann,Indonesia,NO60 4510 8873 334,0
442,Morais,SINTOn,China,EE15 9639 2166 7700 4803,0
448,McGilvary,Pardal,Japan,FR04 0452 9093 65XV MTZ2 34RV M18,1
449,Linford,Grigorescu,China,HR68 2897 0662 4907 9188 1,0
453,Buist,Novak,China,HU74 6697 9223 0424 8276 9920 1395,1
464,Braine,Worts,Guatemala,RS95 0552 3433 9335 0365 37,0
465,Jewster,Mottini,South Africa,AZ11 TAIG AZH6 VPOL XKLA OTD7 KISQ,0
467,Hulland,Abelson,China,NO20 6659 4779 708,0
469,Pappin,Chessil,China,HR18 7489 4117 5446 6860 5,0
